,WORK_STRAM,SESSION_NAME,JOB_INIT_DATE,FREQUENCY,USED_TOOL
234,STG,s_m_STG_TRM_ZDM_ETTBT,04-OCT-18,Daily,INFORMATICA
235,STG,s_m_STG_TRM_ZDM_FBSTT,02-JAN-19,Daily,INFORMATICA
236,STG,s_m_STG_TRM_ZDM_PARREL_SHARE,04-JUL-18,Daily,INFORMATICA
237,STG,s_m_STG_TRM_ZDM_WHAD,04-JUL-18,Daily,INFORMATICA
238,STG,s_m_STG_TRM_ZDM_WHBG,04-JUL-18,Daily,INFORMATICA
239,STG,s_m_STG_TRM_ZDM_WHCP,04-JUL-18,Daily,INFORMATICA
240,STG,s_m_STG_TRM_ZDM_WHGD,04-JUL-18,Daily,INFORMATICA
241,STG,s_m_STG_TRM_ZDM_WHHD,04-JUL-18,Daily,INFORMATICA
242,STG,s_m_STG_TRM_ZDT_APPL_LOG,04-JUL-18,Daily,INFORMATICA
243,STG,s_m_STG_TRM_ZDT_AUDIT_LOG,02-DEC-18,Daily,INFORMATICA
244,STG,s_m_STG_TRM_ZDT_CASE_LOG,25-DEC-18,Daily,INFORMATICA
245,STG,s_m_STG_TRM_ZDT_CASE_OBJECT,29-NOV-18,Daily,INFORMATICA
246,STG,s_m_STG_TRM_ZDT_CUST_COUNTRY,16-SEP-18,Daily,INFORMATICA
247,STG,s_m_STG_TRM_ZDT_ERAT,04-JUL-18,Daily,INFORMATICA
248,STG,s_m_STG_TRM_ZDT_ERCR,04-JUL-18,Daily,INFORMATICA
249,STG,s_m_STG_TRM_ZDT_ERGT,04-JUL-18,Daily,INFORMATICA
0,DWH,s_m_DWH_BP_ZI11_LIST,26-DEC-19,Daily,INFORMATICA
1,DWH,s_m_DWH_RETURN_FZ12_DETAILS,25-DEC-19,Daily,INFORMATICA
2,DWH,s_m_DWH_RETURN_ZI10_DETAILS,25-DEC-19,Daily,INFORMATICA
3,DWH,s_m_DWH_RETURN_ZI11_DETAILS,25-DEC-19,Daily,INFORMATICA
4,DWH,s_m_DWH_SADAD_RECON,30-JAN-20,Daily,INFORMATICA
5,DWH,s_m_DWH_RETURN_ITZC_CONT_DETAILS,13-FEB-20,Daily,INFORMATICA
6,DWH,,20-FEB-20,Daily,INFORMATICA
7,DWH,,03-OCT-18,Daily,INFORMATICA
8,DWH,s_m_DWH_ALL_TRANSACTIONS,23-NOV-18,Daily,INFORMATICA
9,DWH,s_m_DWH_AMEMDMENT_SOURCE_DESC,04-JUL-18,Daily,INFORMATICA
10,DWH,s_m_DWH_APPLICATIONS_LOG,04-JUL-18,Daily,INFORMATICA
11,DWH,s_m_DWH_APPLICATIONS_MAST,08-JAN-19,Daily,INFORMATICA
12,DWH,s_m_DWH_BP_ACTIVITY_DETAILS,04-JUL-18,Daily,INFORMATICA
13,DWH,s_m_DWH_BP_ADDRESS_TYPES_DESC,04-JUL-18,Daily,INFORMATICA
14,DWH,s_m_DWH_BP_BANK_DETAIL,04-JUL-18,Daily,INFORMATICA
15,DWH,s_m_DWH_BP_CONTACTS,04-JUL-18,Daily,INFORMATICA
16,DWH,s_m_DWH_BP_DATA_SOURCE_DESC,04-JUL-18,Daily,INFORMATICA
17,DWH,s_m_DWH_BP_EXT_ACTIVITY_DETAILS,04-JUL-18,Daily,INFORMATICA
18,DWH,s_m_DWH_BP_EXT_CR_DETAILS,04-JUL-18,Daily,INFORMATICA
19,DWH,s_m_DWH_BP_EXT_GOODS_DETAILS,04-JUL-18,Daily,INFORMATICA
20,DWH,s_m_DWH_BP_EXT_IBAN_DETAILS,04-JUL-18,Daily,INFORMATICA
21,DWH,s_m_DWH_BP_EXT_STATUS_DETAILS,04-JUL-18,Daily,INFORMATICA
22,DWH,s_m_DWH_BP_IDENTIFICATIONS,04-JUL-18,Daily,INFORMATICA
23,DWH,s_m_DWH_BP_IDENTIFICATION_TYPES,04-JUL-18,Daily,INFORMATICA
24,DWH,s_m_DWH_BP_INDUSTRY_DESC,04-JUL-18,Daily,INFORMATICA
25,DWH,s_m_DWH_BP_INDUSTRY_SECTOR,04-JUL-18,Daily,INFORMATICA
26,DWH,s_m_DWH_BP_INSTITUTE_DESC,07-OCT-18,Daily,INFORMATICA
27,DWH,s_m_DWH_BP_LEGAL_ENTITY_DESC,04-JUL-18,Daily,INFORMATICA
28,DWH,s_m_DWH_BP_LEGAL_FORM_DESC,04-JUL-18,Daily,INFORMATICA
29,DWH,s_m_DWH_BP_OUTLET_DETAILS,04-JUL-18,Daily,INFORMATICA
30,DWH,s_m_DWH_BP_PARREL_SHARE_DETAILS,04-JUL-18,Daily,INFORMATICA
31,DWH,s_m_DWH_BP_REG_ET_VT_STATUS,04-JUL-18,Daily,INFORMATICA
32,DWH,s_m_DWH_BP_RELATIONS,04-JUL-18,Daily,INFORMATICA
33,DWH,s_m_DWH_BP_RELATIONSHIP_CATEG_DESC,04-JUL-18,Daily,INFORMATICA
34,DWH,s_m_DWH_BP_RELATIONSHIP_KIND_DESC,21-MAR-19,Daily,INFORMATICA
35,DWH,s_m_DWH_BP_ROLES_DESC,04-JUL-18,Daily,INFORMATICA
36,DWH,s_m_DWH_BP_STATUS_DESC,30-JUL-18,Daily,INFORMATICA
37,DWH,s_m_DWH_BP_TYPES_DESC,04-JUL-18,Daily,INFORMATICA
38,DWH,s_m_DWH_BRANCHES,04-JUL-18,Daily,INFORMATICA
39,DWH,s_m_DWH_BUSINESS_PARTNER_MAST,04-JUL-18,Daily,INFORMATICA
40,DWH,s_m_DWH_CMS_ACTION_DESC,30-DEC-18,Daily,INFORMATICA
41,DWH,s_m_DWH_CMS_ACTION_LOG,25-DEC-18,Daily,INFORMATICA
42,DWH,s_m_DWH_CMS_AUD_DGRAL,19-DEC-18,Daily,INFORMATICA
43,DWH,s_m_DWH_CMS_AUD_ESCAL_REAS_DESC,19-DEC-18,Daily,INFORMATICA
44,DWH,s_m_DWH_CMS_AUD_FLAGGED_RISK,20-DEC-18,Daily,INFORMATICA
45,DWH,s_m_DWH_CMS_AUD_FLAGGED_RISK_DESC,20-DEC-18,Daily,INFORMATICA
46,DWH,s_m_DWH_CMS_AUD_HEADER,27-DEC-18,Daily,INFORMATICA
47,DWH,s_m_DWH_CMS_AUD_ITEMS,05-FEB-19,Daily,INFORMATICA
48,DWH,s_m_DWH_CMS_AUD_ITEM_REASON_DESC,05-FEB-19,Daily,INFORMATICA
