WORK_STRAM,JOB_NAME,JOB_INIT_DATE,FREQUENCY,USED_TOOL,new_name,SESSION_NAME
STG,m_STG_DWH_LOAD_GL_ACCT_CC_TEXT,25-NOV-18,Daily,INFORMATICA,GL_ACCT_CC_TEXT,s_m_STG_TRM_GL_ACCT_CC_TEXT
STG,m_STG_DWH_LOAD_ITXE_RETURN,04-OCT-18,Daily,INFORMATICA,ITXE_RETURN,s_m_STG_TRM_ITXE_RETURN
STG,m_STG_DWH_LOAD_ITXN_RETURN,10-OCT-18,Daily,INFORMATICA,ITXN_RETURN,s_m_STG_TRM_ITXN_RETURN
STG,m_STG_DWH_LOAD_ITZC_RETURN,02-OCT-18,Daily,INFORMATICA,ITZC_RETURN,s_m_STG_TRM_ITZC_RETURN
STG,m_STG_DWH_LOAD_ITZK_RETURN,10-OCT-18,Daily,INFORMATICA,ITZK_RETURN,s_m_STG_TRM_ITZK_RETURN
STG,m_STG_DWH_LOAD_SCMGATTR_CATEGOT,02-DEC-18,Daily,INFORMATICA,SCMGATTR_CATEGOT,s_m_STG_TRM_SCMGATTR_CATEGOT
STG,m_STG_DWH_LOAD_SCMGATTR_PRIOT,02-DEC-18,Daily,INFORMATICA,SCMGATTR_PRIOT,s_m_STG_TRM_SCMGATTR_PRIOT
STG,m_STG_DWH_LOAD_SCMGATTR_REASONT,02-DEC-18,Daily,INFORMATICA,SCMGATTR_REASONT,s_m_STG_TRM_SCMGATTR_REASONT
STG,m_STG_DWH_LOAD_SCMGATTR_SESCALT,02-DEC-18,Daily,INFORMATICA,SCMGATTR_SESCALT,s_m_STG_TRM_SCMGATTR_SESCALT
STG,m_STG_DWH_LOAD_SCMGAUT_SECLEVLT,02-DEC-18,Daily,INFORMATICA,SCMGAUT_SECLEVLT,s_m_STG_TRM_SCMGAUT_SECLEVLT
STG,m_STG_DWH_LOAD_SCMGCASETYPE,29-NOV-18,Daily,INFORMATICA,SCMGCASETYPE,s_m_STG_TRM_SCMGCASETYPE
STG,m_STG_DWH_LOAD_SCMGCASETYPET,19-DEC-18,Daily,INFORMATICA,SCMGCASETYPET,s_m_STG_TRM_SCMGCASETYPET
STG,m_STG_DWH_LOAD_SCMGPDIR_CLNT,02-DEC-18,Daily,INFORMATICA,SCMGPDIR_CLNT,s_m_STG_TRM_SCMGPDIR_CLNT
STG,m_STG_DWH_LOAD_SCMGSTATPROFS,02-DEC-18,Daily,INFORMATICA,SCMGSTATPROFS,s_m_STG_TRM_SCMGSTATPROFS
STG,m_STG_DWH_LOAD_SCMGSTATPROFST,02-DEC-18,Daily,INFORMATICA,SCMGSTATPROFST,s_m_STG_TRM_SCMGSTATPROFST
